Essay,Jurusan
Aku penasaran sama cara logam tambang seperti emas dan perak diolah sebelum digunakan,SMK Energi dan Pertambangan
Aku tertarik banget sama cara batu bara diubah jadi sumber energi yang lebih bersih,SMK Energi dan Pertambangan
"Pembangkit listrik tenaga bayu itu menarik, aku mau tau cara pasangnya di area pedesaan",SMK Energi dan Pertambangan
Aku pengen belajar bagaimana energi dari air bisa dioptimalkan tanpa merusak lingkungan,SMK Energi dan Pertambangan
Belajar soal eksplorasi tambang bawah tanah bikin aku penasaran sama teknologi keamanannya,SMK Energi dan Pertambangan
Aku mau tau gimana tambang emas tradisional bisa lebih efisien tanpa merusak lingkungan,SMK Energi dan Pertambangan
"Aku suka lihat turbin angin raksasa, pengen banget belajar cara merancangnya",SMK Energi dan Pertambangan
Rasanya asik kalau bisa belajar tentang proses pembentukan mineral di dalam bumi,SMK Energi dan Pertambangan
Aku pengen tau gimana cara limbah tambang diolah jadi bahan yang bermanfaat lagi,SMK Energi dan Pertambangan
Aku tertarik belajar tentang pengolahan gas alam cair untuk ekspor internasional,SMK Energi dan Pertambangan
Rasanya seru banget kalau bisa tau cara tambang minyak bisa bertahan di tengah laut,SMK Energi dan Pertambangan
Aku penasaran sama proses pemurnian logam hasil tambang seperti tembaga dan aluminium,SMK Energi dan Pertambangan
Aku ingin belajar cara menggunakan energi matahari untuk menggantikan listrik konvensional,SMK Energi dan Pertambangan
"Energi biomassa dari sisa pertanian itu keren, aku mau belajar cara pengolahannya",SMK Energi dan Pertambangan
"Aku suka banget lihat alat berat tambang, pengen tau cara kerjanya satu per satu",SMK Energi dan Pertambangan
Aku mau belajar gimana tambang batubara diubah jadi energi tanpa polusi,SMK Energi dan Pertambangan
Rasanya seru kalau bisa belajar proses pencarian sumber energi baru di bidang pertambangan,SMK Energi dan Pertambangan
Aku penasaran sama teknologi yang bikin tambang lebih efisien dan ramah lingkungan,SMK Energi dan Pertambangan
Rasanya seru kalau bisa tau teknologi pemurnian gas alam jadi bahan bakar kendaraan,SMK Energi dan Pertambangan
Aku penasaran sama alat berat seperti excavator dan bagaimana mereka digunakan di tambang,SMK Energi dan Pertambangan
"Energi dari panas bumi menarik banget, aku mau belajar cara kerjanya",SMK Energi dan Pertambangan
Aku pengen tahu gimana cara penyimpanan gas alam agar aman untuk distribusi,SMK Energi dan Pertambangan
Aku tertarik mempelajari teknologi baru yang bikin tambang lebih efisien,SMK Energi dan Pertambangan
Aku penasaran gimana panel surya bisa dipasang di rumah-rumah kecil,SMK Energi dan Pertambangan
Rasanya keren kalau bisa belajar tentang energi angin di daerah dengan kecepatan angin rendah,SMK Energi dan Pertambangan
Aku mau belajar cara tambang logam mulia seperti emas bisa jadi lebih ramah lingkungan,SMK Energi dan Pertambangan
Aku penasaran gimana proses pembuatan plastik dari minyak bumi dilakukan di kilang petrokimia,SMK Energi dan Pertambangan
Rasanya menarik banget kalau bisa belajar cara mengolah gas alam jadi bahan kimia industri,SMK Energi dan Pertambangan
Aku tertarik mendalami teknologi petrokimia untuk menghasilkan bahan bakar yang lebih ramah lingkungan,SMK Energi dan Pertambangan
Saya ingin bisa membuat game sendiri,SMK Teknologi Informasi dan Komunikasi
aku mau buat aplikasi sendiri,SMK Teknologi Informasi dan Komunikasi
gua pengen ngedesain web sendiri,SMK Teknologi Informasi dan Komunikasi
aku mau bisa ngoding,SMK Teknologi Informasi dan Komunikasi
gua pengen buat program,SMK Teknologi Informasi dan Komunikasi
saya mau merancang aplikasi untuk bisnis,SMK Teknologi Informasi dan Komunikasi
aku ingin buat desain digital,SMK Teknologi Informasi dan Komunikasi
aku mau belajar buat 3d,SMK Teknologi Informasi dan Komunikasi
aku mau tau cara kerja jaringan internet,SMK Teknologi Informasi dan Komunikasi
saya mau belajar cara bangun server,SMK Teknologi Informasi dan Komunikasi
saya mau tau proses pembuatan aplikasi,SMK Teknologi Informasi dan Komunikasi
gua mau buat karakter untuk game,SMK Teknologi Informasi dan Komunikasi
aku mau gambar ku dipakai di game,SMK Teknologi Informasi dan Komunikasi
aku mau buat aplikasi sepopuler tiktok,SMK Teknologi Informasi dan Komunikasi
saya suka dengan komputer,SMK Teknologi Informasi dan Komunikasi
saya tertarik dengan aplikasi aplikasi di komputer,SMK Teknologi Informasi dan Komunikasi
saya penasaran dengan cara kerja komputer,SMK Teknologi Informasi dan Komunikasi
aku ingin kerja di bidang jaringan seperti telkomsel,SMK Teknologi Informasi dan Komunikasi
aku mau tau cara buat aplikasi yang bisa dipakai banyak orang,SMK Teknologi Informasi dan Komunikasi
aku mau buat gambar digital,SMK Teknologi Informasi dan Komunikasi
aku mau buat animasi digital,SMK Teknologi Informasi dan Komunikasi
aku mau buat jaringan internet yang aman dan bebas penipuan,SMK Teknologi Informasi dan Komunikasi
saya mau buat aplikasi yang memudahkan pekerjaan,SMK Teknologi Informasi dan Komunikasi
gua mau buat aplikasi yang bisa menyelesaikan masalah,SMK Teknologi Informasi dan Komunikasi
gua pengen tau gimana data berpindah,SMK Teknologi Informasi dan Komunikasi
saya ingin tau bagaimana pesan sampai dengan cepat,SMK Teknologi Informasi dan Komunikasi
aku penasaran gimana komunikasi jarak jauh bekerja,SMK Teknologi Informasi dan Komunikasi
Saya mau membuat program yang bisa membantu orang belajar lebih cepat.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat aplikasi chatting yang punya fitur-fitur unik.,SMK Teknologi Informasi dan Komunikasi
saya ingin belajar cara membuat website yang menarik dan responsif.,SMK Teknologi Informasi dan Komunikasi
gua penasaran dengan bagaimana cara buat aplikasi yang bisa mendeteksi wajah.,SMK Teknologi Informasi dan Komunikasi
Aku mau tahu lebih dalam tentang cara kerja perangkat lunak di komputer.,SMK Teknologi Informasi dan Komunikasi
Aku ingin buat game petualangan seru yang punya banyak level.,SMK Teknologi Informasi dan Komunikasi
saya mau buat aplikasi yang bisa membantu orang mengatur keuangan mereka.,SMK Teknologi Informasi dan Komunikasi
Aku ingin menciptakan animasi yang bisa ditonton di bioskop atau TV.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat sistem jaringan supaya internet lebih lancar.,SMK Teknologi Informasi dan Komunikasi
Aku ingin bisa merancang game yang bisa dimainkan di berbagai perangkat.,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana caranya membuat online shop seperti Tokopedia.,SMK Teknologi Informasi dan Komunikasi
saya mau belajar cara buat aplikasi edukasi untuk bantu pelajar,SMK Teknologi Informasi dan Komunikasi
saya ingin menciptakan alat yang bisa memantau kesehatan orang,SMK Teknologi Informasi dan Komunikasi
Aku mau buat aplikasi khusus untuk membantu ibu-ibu memasak.,SMK Teknologi Informasi dan Komunikasi
gua penasaran cara kerja aplikasi Google Maps.,SMK Teknologi Informasi dan Komunikasi
Aku ingin membuat animasi 3D untuk film kartun atau game.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu lebih banyak tentang desain grafis dan seni digital.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat aplikasi yang membantu mengingatkan orang minum air.,SMK Teknologi Informasi dan Komunikasi
aku mau buat situs online shop seperti shopee,SMK Teknologi Informasi dan Komunikasi
Aku mau menciptakan aplikasi pengingat tugas sekolah,SMK Teknologi Informasi dan Komunikasi
Aku penasaran dengan cara kerja sensor pada fingerprint reader,SMK Teknologi Informasi dan Komunikasi
Aku ingin buat aplikasi yang bisa bantu orang menemukan lokasi wisata.,SMK Teknologi Informasi dan Komunikasi
Aku tertarik dengan teknologi AI dan mau tahu cara kerjanya.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat aplikasi yang bisa mengajarkan anak-anak cara menggambar.,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara buat aplikasi video yang mudah digunakan.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu cara buat aplikasi yang bisa bantu orang olahraga di rumah.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat website sendiri yang bisa aku isi dengan karya seniku.,SMK Teknologi Informasi dan Komunikasi
Aku ingin membuat animasi yang bisa digunakan untuk iklan online.,SMK Teknologi Informasi dan Komunikasi
Aku mau tahu cara memperbaiki jaringan internet kalau ada masalah.,SMK Teknologi Informasi dan Komunikasi
Aku ingin belajar cara mengamankan jaringan dari virus atau serangan.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat sistem jaringan yang bisa diakses dari berbagai tempat.,SMK Teknologi Informasi dan Komunikasi
Aku ingin buat jaringan untuk streaming video supaya lancar.,SMK Teknologi Informasi dan Komunikasi
Aku mau tahu lebih dalam tentang cara kerja router dan switch di jaringan.,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara internet sampai ke perangkat kita dari server jauh.,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara jaringan internet sampai ke daerah terpencil.,SMK Teknologi Informasi dan Komunikasi
Aku mau tahu cara mengatasi jaringan yang lambat atau tidak stabil,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu gimana cara mempercepat koneksi internet di rumah.,SMK Teknologi Informasi dan Komunikasi
Aku mau buat jaringan yang aman dan terlindungi dari hacker.,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara kerja Wi-Fi,SMK Teknologi Informasi dan Komunikasi
Saya ingin merancang game sendiri.,SMK Teknologi Informasi dan Komunikasi
Aku ingin bisa bikin aplikasiku sendiri.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu cara coding.,SMK Teknologi Informasi dan Komunikasi
Saya punya minat pada komputer.,SMK Teknologi Informasi dan Komunikasi
Saya tertarik pada aplikasi-aplikasi di komputer.,SMK Teknologi Informasi dan Komunikasi
Saya ingin tahu cara kerja komputer.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu cara menciptakan aplikasi yang banyak digunakan orang.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu bagaimana pesan dikirim dengan cepat.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu bagaimana komunikasi jarak jauh bisa berjalan.,SMK Teknologi Informasi dan Komunikasi
Saya ingin membuat program yang mempermudah orang belajar.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu cara jaringan sampai ke daerah terpencil.,SMK Teknologi Informasi dan Komunikasi
Aku ingin tahu cara mengatasi jaringan yang lambat.,SMK Teknologi Informasi dan Komunikasi
Gue tuh demen banget bikin aplikasi keren pake laptop,SMK Teknologi Informasi dan Komunikasi
"Aku ngerasa coding itu kayak main game, asyik banget",SMK Teknologi Informasi dan Komunikasi
"Saya suka banget nyobain software baru, berasa petualangan gitu",SMK Teknologi Informasi dan Komunikasi
Gue penasaran banget gimana caranya internet bisa jalan,SMK Teknologi Informasi dan Komunikasi
"Aku sering ngedit video pake laptop, seru banget sumpah",SMK Teknologi Informasi dan Komunikasi
Gue pengen banget bisa bikin website sendiri,SMK Teknologi Informasi dan Komunikasi
"Aku suka banget belajar teknologi baru, berasa jadi orang canggih",SMK Teknologi Informasi dan Komunikasi
"Saya betah banget belajar bahasa pemrograman, kayak main teka-teki",SMK Teknologi Informasi dan Komunikasi
Aku mau tau gimana caranya data di komputer bisa aman,SMK Teknologi Informasi dan Komunikasi
"Aku lagi belajar soal jaringan komputer, kayak seru gitu",SMK Teknologi Informasi dan Komunikasi
Aku penasaran banget gimana caranya aplikasi bisa jalan,SMK Teknologi Informasi dan Komunikasi
"Gue suka bikin algoritma buat nyelesain soal, berasa pinter gitu",SMK Teknologi Informasi dan Komunikasi
"Saya sering pake Excel buat ngatur data, ternyata seru juga",SMK Teknologi Informasi dan Komunikasi
Aku suka banget kalo bisa bikin app yang berguna buat orang,SMK Teknologi Informasi dan Komunikasi
"Gue penasaran banget soal kecerdasan buatan, keren banget sumpah",SMK Teknologi Informasi dan Komunikasi
"Saya lagi belajar logika coding, bikin nagih banget",SMK Teknologi Informasi dan Komunikasi
Aku pengen tau cara bikin aplikasi kayak TikTok atau Instagram,SMK Teknologi Informasi dan Komunikasi
Saya suka teknologi komputer ,SMK Teknologi Informasi dan Komunikasi
"Aku suka banget pelajaran komputer, apalagi kalau belajar coding.",SMK Teknologi Informasi dan Komunikasi
"Desain Grafis itu seru banget, aku suka bikin karya di komputer.",SMK Teknologi Informasi dan Komunikasi
Gue suka banget belajar tentang cara bikin game,SMK Teknologi Informasi dan Komunikasi
Aku sering buka YouTube buat belajar coding,SMK Teknologi Informasi dan Komunikasi
Saya suka ngutak-atik jaringan WiFi di rumah,SMK Teknologi Informasi dan Komunikasi
Aku pengen jadi ahli programming yang bikin aplikasi keren,SMK Teknologi Informasi dan Komunikasi
Saya suka baca artikel tentang teknologi komputer,SMK Teknologi Informasi dan Komunikasi
Aku sering mikirin gimana cara ngehack sistem (tapi buat belajar aja),SMK Teknologi Informasi dan Komunikasi
Saya tertarik banget bikin aplikasi e-commerce kayak Shopee,SMK Teknologi Informasi dan Komunikasi
Aku pengen bikin aplikasi game yang banyak dimainkan orang,SMK Teknologi Informasi dan Komunikasi
Aku suka banget ngerakit komputer biar makin cepat,SMK Teknologi Informasi dan Komunikasi
Saya sering belajar pemrograman di platform online,SMK Teknologi Informasi dan Komunikasi
Saya suka bikin rencana aplikasi untuk bantu orang-orang,SMK Teknologi Informasi dan Komunikasi
Aku sering baca-baca soal pengembangan teknologi AI,SMK Teknologi Informasi dan Komunikasi
Gue pengen banget belajar bikin aplikasi buat sekolah,SMK Teknologi Informasi dan Komunikasi
Aku sering nyoba-nyoba template buat bikin website,SMK Teknologi Informasi dan Komunikasi
Gue seneng banget pas belajar bikin program kalkulator,SMK Teknologi Informasi dan Komunikasi
Aku hobi ngutak-atik game engine buat bikin game kecil,SMK Teknologi Informasi dan Komunikasi
Gue pengen belajar bikin aplikasi sosial media,SMK Teknologi Informasi dan Komunikasi
Aku penasaran soal gimana cara data diproses di komputer,SMK Teknologi Informasi dan Komunikasi
Gue pengen belajar bikin aplikasi buat belanja online,SMK Teknologi Informasi dan Komunikasi
Gue hobi bikin game di Roblox Studio,SMK Teknologi Informasi dan Komunikasi
Gue pengen bikin aplikasi yang bisa bantu orang cari kerja,SMK Teknologi Informasi dan Komunikasi
Gue pengen jadi developer aplikasi besar kayak WhatsApp,SMK Teknologi Informasi dan Komunikasi
Saya sering cari-cari tutorial bikin game di internet,SMK Teknologi Informasi dan Komunikasi
Aku suka banget main sama program visual coding kayak Scratch,SMK Teknologi Informasi dan Komunikasi
Gue pengen tau cara bikin aplikasi buat sekolah digital,SMK Teknologi Informasi dan Komunikasi
Aku sering baca-baca soal teknologi VR dan AR,SMK Teknologi Informasi dan Komunikasi
Saya penasaran gimana cara bikin algoritma buat deteksi wajah,SMK Teknologi Informasi dan Komunikasi
Gue pengen bikin aplikasi yang bisa bantu orang dengan disabilitas,SMK Teknologi Informasi dan Komunikasi
Saya sering download software open-source buat dipelajarin,SMK Teknologi Informasi dan Komunikasi
Aku suka banget nyoba bikin bot di Discord pake coding,SMK Teknologi Informasi dan Komunikasi
"Gue seneng banget kalau ada update software baru, langsung coba",SMK Teknologi Informasi dan Komunikasi
Gue sering ngutak-atik coding di HTML buat bikin blog gue,SMK Teknologi Informasi dan Komunikasi
Aku sering ngerancang layout website buat belajar desain web,SMK Teknologi Informasi dan Komunikasi
Saya pengen tau gimana cara kerja VR biar bisa bikin aplikasi VR sendiri,SMK Teknologi Informasi dan Komunikasi
Gue suka ngulik game engine Unity buat coba bikin game kecil,SMK Teknologi Informasi dan Komunikasi
Gue penasaran banget gimana cara bikin aplikasi chat kayak WhatsApp,SMK Teknologi Informasi dan Komunikasi
"Saya sering belajar tentang keamanan siber, kayaknya seru banget",SMK Teknologi Informasi dan Komunikasi
Aku pengen banget bikin aplikasi yang bisa bantu belajar anak-anak,SMK Teknologi Informasi dan Komunikasi
Saya suka explore software buat bikin musik EDM,SMK Teknologi Informasi dan Komunikasi
Gue seneng banget kalau berhasil debug program yang error,SMK Teknologi Informasi dan Komunikasi
Saya sering ngerjain proyek kecil pake aplikasi coding kayak Python,SMK Teknologi Informasi dan Komunikasi
Gue penasaran banget gimana cara kerja AI buat bikin rekomendasi,SMK Teknologi Informasi dan Komunikasi
Gue sering bikin avatar keren pake aplikasi 3D,SMK Teknologi Informasi dan Komunikasi
Aku suka banget belajar algoritma buat bikin solusi praktis,SMK Teknologi Informasi dan Komunikasi
Saya penasaran gimana cara bikin teknologi AR kayak di game Pokemon GO,SMK Teknologi Informasi dan Komunikasi
Aku suka banget bikin desain UI/UX buat aplikasi dummy,SMK Teknologi Informasi dan Komunikasi
"Saya sering ikut workshop coding online, asik banget",SMK Teknologi Informasi dan Komunikasi
Gue pengen bikin aplikasi yang bantu orang belajar bahasa asing,SMK Teknologi Informasi dan Komunikasi
Gue seneng ngoprek tools hacking etis buat belajar keamanan data,SMK Teknologi Informasi dan Komunikasi
Aku suka banget bikin desain karakter 2D buat game,SMK Teknologi Informasi dan Komunikasi
Saya sering coba bikin chatbot sederhana buat belajar coding,SMK Teknologi Informasi dan Komunikasi
Gue sering ikut lomba desain grafis dan seneng explore gaya baru,SMK Teknologi Informasi dan Komunikasi
Aku pengen tau gimana cara bikin game kayak Among Us,SMK Teknologi Informasi dan Komunikasi
Saya suka belajar cara optimasi website biar cepet diakses,SMK Teknologi Informasi dan Komunikasi
Gue sering nulis script buat game kecil di Scratch,SMK Teknologi Informasi dan Komunikasi
Saya penasaran gimana cara bikin aplikasi pencari rute kayak Google Maps,SMK Teknologi Informasi dan Komunikasi
Gue sering main di Unity buat bikin prototype game,SMK Teknologi Informasi dan Komunikasi
Saya penasaran banget soal teknologi server cloud,SMK Teknologi Informasi dan Komunikasi
Aku sering ngoprek aplikasi open-source buat bikin versi modifikasi,SMK Teknologi Informasi dan Komunikasi
Saya suka belajar bikin algoritma sorting data yang efisien,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara bikin aplikasi pengingat jadwal otomatis,SMK Teknologi Informasi dan Komunikasi
Gue sering ikut webinar soal perkembangan teknologi terbaru,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana caranya Instagram bisa ngenalin muka kita,SMK Teknologi Informasi dan Komunikasi
"Gue penasaran banget sama teknologi VR, kayaknya keren buat main game",SMK Teknologi Informasi dan Komunikasi
Gue pengen belajar coding biar bisa bikin aplikasi keren,SMK Teknologi Informasi dan Komunikasi
Gue pengen bikin aplikasi yang bisa bantu anak-anak belajar lebih asik,SMK Teknologi Informasi dan Komunikasi
Aku pengen banget ngerti gimana aplikasi kayak Shopee bisa ngatur belanja,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara bikin teknologi buat fingerprint scanner,SMK Teknologi Informasi dan Komunikasi
Gue penasaran gimana cara bikin game balapan kayak Asphalt,SMK Teknologi Informasi dan Komunikasi
Aku pengen bikin aplikasi yang bisa bantu ngerjain PR otomatis,SMK Teknologi Informasi dan Komunikasi
Gue penasaran gimana cara bikin aplikasi kayak Grab yang bisa nge-track lokasi,SMK Teknologi Informasi dan Komunikasi
Aku suka banget belajar bikin bot kecil di Telegram,SMK Teknologi Informasi dan Komunikasi
Aku pengen ngerti gimana caranya coding aplikasi chat kayak LINE,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara aplikasi belajar kayak Duolingo nentuin level pengguna,SMK Teknologi Informasi dan Komunikasi
Aku pengen belajar bikin game horror kayak Poppy Playtime,SMK Teknologi Informasi dan Komunikasi
Aku suka banget belajar bikin game tebak-tebakan di Scratch,SMK Teknologi Informasi dan Komunikasi
Gue sering main sama coding CSS biar layout website gue makin keren,SMK Teknologi Informasi dan Komunikasi
Aku penasaran gimana cara aplikasi kayak Canva bikin desain otomatis,SMK Teknologi Informasi dan Komunikasi
Gue demen banget ngutak-atik tema HP biar tampilannya beda dari yang lain,SMK Teknologi Informasi dan Komunikasi
Gue suka banget ngutak-atik laptop temen yang kena virus,SMK Teknologi Informasi dan Komunikasi
Aku demen banget nyoba bikin desain logo buat grup gaming,SMK Teknologi Informasi dan Komunikasi
"Aku sering belajar dasar-dasar coding di YouTube, seru banget",SMK Teknologi Informasi dan Komunikasi
Aku sering mikir gimana bikin aplikasi buat bantu siswa belajar di rumah,SMK Teknologi Informasi dan Komunikasi
saya mau belajar cara ngehack,SMK Teknologi Informasi dan Komunikasi
saya mau belajar cara game online bekerja,SMK Teknologi Informasi dan Komunikasi
Aku ingin jadi perawat,SMK Kesehatan dan Pekerjaan Sosial
aku ingin membantu dokter,SMK Kesehatan dan Pekerjaan Sosial
aku ingin bisa merawat orang,SMK Kesehatan dan Pekerjaan Sosial
saya berharap bisa merawat orang orang sakit,SMK Kesehatan dan Pekerjaan Sosial
aku ingin belajar tentang obat-obatan,SMK Kesehatan dan Pekerjaan Sosial
aku ingin belajar cara buat obat,SMK Kesehatan dan Pekerjaan Sosial
aku ingin buat obat yang bisa menyembuhkan banyak penyakit,SMK Kesehatan dan Pekerjaan Sosial
gua mau buat obat kanker,SMK Kesehatan dan Pekerjaan Sosial
aku ingin merawaat orang yang tinggal di panti jompo,SMK Kesehatan dan Pekerjaan Sosial
saya mau merawat orang yang tidak mampu merawat dirinya sendiri,SMK Kesehatan dan Pekerjaan Sosial
aku ingin bisa merawat orang dengan penyakit mental,SMK Kesehatan dan Pekerjaan Sosial
aku ingin menolong orang dengan depersi,SMK Kesehatan dan Pekerjaan Sosial
saya penasaran dengan bahan bahan yang digunakan dalam obat,SMK Kesehatan dan Pekerjaan Sosial
saya mau tau apa aja yang perawat lakukan selama merawat pasien,SMK Kesehatan dan Pekerjaan Sosial
gua kagum sama perawat yang selalu siap ngurus pasien,SMK Kesehatan dan Pekerjaan Sosial
aku ingin membantu penyandang disabilitas,SMK Kesehatan dan Pekerjaan Sosial
aku mau orang lansia tetap terurus dan sehat,SMK Kesehatan dan Pekerjaan Sosial
saya mau membantu orang orang yang cacat secara fisik,SMK Kesehatan dan Pekerjaan Sosial
saya ingin jadi asisten dokter,SMK Kesehatan dan Pekerjaan Sosial
saya mau jadi perawat seperti yang di rumah sakit,SMK Kesehatan dan Pekerjaan Sosial
saya ingin bekerja di rumah sakit menjadi perawat,SMK Kesehatan dan Pekerjaan Sosial
saya ingin jadi apoteker,SMK Kesehatan dan Pekerjaan Sosial
saya ingin bisa ngerti obat,SMK Kesehatan dan Pekerjaan Sosial
gua mau buat obat yang anak kecil ga takut untuk minum,SMK Kesehatan dan Pekerjaan Sosial
aku mau bantu orang yang ga punya kaki,SMK Kesehatan dan Pekerjaan Sosial
saya ingin bantu orang yang gabisa jalan,SMK Kesehatan dan Pekerjaan Sosial
aku mau membantu merawat orang sakit ,SMK Kesehatan dan Pekerjaan Sosial
"Aku suka banget pelajaran Biologi, aku pengen jadi dokter suatu hari nanti!",SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget belajar tentang tubuh manusia, apalagi pas bahas sistem pencernaan",SMK Kesehatan dan Pekerjaan Sosial
"Aku tuh seneng banget liat alat-alat medis, kayaknya keren aja jadi perawat",SMK Kesehatan dan Pekerjaan Sosial
"Seru banget kalau belajar soal organ tubuh, rasanya pengen jadi dokter beneran",SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget kalau diajak nolongin orang, apalagi yang butuh bantuan medis",SMK Kesehatan dan Pekerjaan Sosial
"Aku suka pelajaran Biologi, yang bahas sel-sel gitu tuh seru banget",SMK Kesehatan dan Pekerjaan Sosial
"Kayaknya jadi apoteker itu keren, bisa ngerti obat-obatan",SMK Kesehatan dan Pekerjaan Sosial
"Seru deh pelajaran tentang darah, pas praktik pasang infus gue paling semangat",SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget bantuin temen kalau mereka sakit, rasanya lega gitu",SMK Kesehatan dan Pekerjaan Sosial
"Aku suka belajar tentang penyakit dan cara ngatasinnya, keren banget rasanya jadi pahlawan medis",SMK Kesehatan dan Pekerjaan Sosial
"Gue pengen banget ngerti lebih banyak soal dunia kesehatan, kayak penting banget",SMK Kesehatan dan Pekerjaan Sosial
"Aku tuh suka ngobrol sama orang-orang, apalagi denger cerita mereka",SMK Kesehatan dan Pekerjaan Sosial
Kayaknya seru kalau bisa bantu orang yang lagi kesusahan,SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget bantuin nenek-nenek atau anak kecil, bikin hati adem aja",SMK Kesehatan dan Pekerjaan Sosial
Aku seneng banget lihat orang senyum gara-gara gue bantuin mereka,SMK Kesehatan dan Pekerjaan Sosial
Gue pengen banget kerja yang bisa ngasih impact ke banyak orang,SMK Kesehatan dan Pekerjaan Sosial
"Aku suka banget pelajaran PKN, kayak ngerti soal hak dan kewajiban manusia itu penting banget",SMK Kesehatan dan Pekerjaan Sosial
"Gue sering jadi penengah kalau temen-temen pada ribut, rasanya asik kalau masalah selesai",SMK Kesehatan dan Pekerjaan Sosial
Aku suka belajar soal cara-cara bantuin orang dengan cara yang bener,SMK Kesehatan dan Pekerjaan Sosial
"Gue pengen banget kerja di panti asuhan atau tempat kayak gitu, biar bisa bantu anak-anak",SMK Kesehatan dan Pekerjaan Sosial
Aku seneng kalau bisa bantu temen keluar dari masalahnya,SMK Kesehatan dan Pekerjaan Sosial
Gue suka banget sama pelajaran yang bahas soal emosi manusia dan cara ngatasin masalah mereka,SMK Kesehatan dan Pekerjaan Sosial
"Aku sering bantuin adik gue kalau dia lagi sedih, rasanya penting banget ada buat dia",SMK Kesehatan dan Pekerjaan Sosial
Gue ngerasa puas banget kalau berhasil bantuin orang buat bangkit dari kesulitan,SMK Kesehatan dan Pekerjaan Sosial
"Aku suka banget ikut kegiatan sosial di sekolah, kayaknya bermakna banget gitu",SMK Kesehatan dan Pekerjaan Sosial
Gue seneng banget kalau bisa ngasih solusi buat orang yang lagi susah,SMK Kesehatan dan Pekerjaan Sosial
"Aku suka banget pelajaran Biologi, apalagi pas belajar sistem imun tubuh",SMK Kesehatan dan Pekerjaan Sosial
"Gue pengen jadi orang yang bisa nyembuhin banyak orang, kayak dokter gitu",SMK Kesehatan dan Pekerjaan Sosial
"Aku seneng banget lihat video tentang medis, rasanya inspiring banget",SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget pas ada tugas bikin kegiatan sosial di sekolah, feel like gue bermanfaat",SMK Kesehatan dan Pekerjaan Sosial
Aku suka banget dengerin cerita orang dan cari cara buat bantuin mereka,SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget kalau nonton video operasi, kayaknya keren banget cara dokter kerja",SMK Kesehatan dan Pekerjaan Sosial
"Aku suka belajar tentang alat-alat di rumah sakit, kayaknya unik dan penting semua",SMK Kesehatan dan Pekerjaan Sosial
"Gue sering bantuin keluarga kalau ada yang sakit, rasanya gue bisa jadi tenaga kesehatan",SMK Kesehatan dan Pekerjaan Sosial
Aku paling semangat kalau guru ngajak praktik soal pertolongan pertama,SMK Kesehatan dan Pekerjaan Sosial
Gue pengen ngerti lebih banyak tentang kesehatan biar bisa bantu orang tua gue juga,SMK Kesehatan dan Pekerjaan Sosial
Seru banget belajar tentang obat-obatan herbal dan medis,SMK Kesehatan dan Pekerjaan Sosial
"Aku pengen belajar jadi ahli gizi, biar bisa ngajarin orang makan sehat",SMK Kesehatan dan Pekerjaan Sosial
"Gue suka banget ngurusin luka kecil, kayak pasang perban atau ngompres",SMK Kesehatan dan Pekerjaan Sosial
Aku seneng kalau belajar soal gimana cara mencegah penyakit,SMK Kesehatan dan Pekerjaan Sosial
"Gue sering baca artikel tentang kesehatan, kayak seru aja tau hal baru",SMK Kesehatan dan Pekerjaan Sosial
"Aku tuh suka dengerin curhat temen-temen, mereka bilang gue paham banget soal masalah mereka",SMK Kesehatan dan Pekerjaan Sosial
Gue pengen banget kerja di bidang yang berhubungan langsung sama orang-orang,SMK Kesehatan dan Pekerjaan Sosial
Aku seneng banget kalau bisa jadi support system buat orang lain,SMK Kesehatan dan Pekerjaan Sosial
